semester,subject,code
1,Ψηφιακή Σχεδίαση,86192991
1,Μαθηματικά Ι,77107082
1,Διακριτά Μαθηματικά,77106820
1,Εργαστήριο C++,50659221
1,Αγγλική Τεχνική Ορολογία,86195605
2,Βάσεις δεδομένων,50656346
2,Μαθηματικά ΙΙ,102070166
2,Οργάνωση Υπολογιστών,86192986
2,Εισαγωγή στην Java,94643857
2,Εκπαιδευτική Ψυχολογία,Όποιο να'ναι
2,Αλγόριθμοι και Δομές Δεδομένων,18548971
3,Αντικειμενοστραφής Προγραμματισμός,102070267
3,Επιστημονικός Υπολογισμός,όποιο νάναι
3,Εφαρμοσμένα Μαθηματικά,77106816
3,Προηγμένες Εφαρμογές Ψηφιακής Σχεδίασης,86055864
3,Λειτουργικά Συστήματα,102070659
3,Μεταγλωττιστές,77108866
3,Μεθοδολογία Εκπαιδευτικής Έρευνας,102071601
4,Αναλογικά Ηλεκτρονικά,41957349
4,Προγραμματισμός Διεπαφής Χρήστη,Δεν υπάρχει βιβλίο
4,Προηγμένα Θέματα Προγραμματισμού,94644160
4,Στατιστική και Πιθανότητες,77120260
4,Τεχνητή Νοημοσύνη,94700120
4,ΤΠΕ στην Εκπαίδευση,Όποιο να'ναι
5,Υπολογιστική Νοημοσύνη,59358324
5,Αναγνώριση Προτύπων,13256974
5,Διδακτική και Εφαρμογές,13678
5,Νευρωνικά Δίκτυα,13908
5,Τεχνολογία Λογισμικού I,13009253
5,Δίκτυα Υπολογιστών,77107676
6,Αλγόριθμοι Βελτιστοποίησης,35475
6,Γραφικά Υπολογιστών,94701919
6,Ενσωματωμένα Συστήματα,112693086
6,Κρυπτογραφία,Όποιο να'ναι
6,Πρωτόκολλα και Αρχιτεκτονικές Διαδικτύου,102070446
6,Σήματα και Συσήματα,102071800
6,Mαθηματική Λογική,50657752
6,Εκπαιδευτική Καινοτομία και Ανάπτυξη Εφαρμογών,Όποιο να'ναι
7,Παράλληλος και Κατανεμημένος Υπολογισμός,133030593
7,Ασύρματα Δίκτυα και Κινητές Επικοινωνίες,50655989
7,Εισαγωγή στην Τεχνητή Όραση,102074869
7,Ειδικά Θέματα Βάσεων Δεδομένων,68387584 ή 3881
7,Ασφάλεια Πληροφοριών και Ιδιωτικότητα,Όποιο να'ναι
